# E0_std_1 E0_std_2 gamma_1 gamma_2 Ru E0_mean alpha Cdl k0 E0_mean_offset
8.356649668479132487e-02 8.151396359971954664e-02 3.030090277407570500e-10 4.748221663720357425e-10 3.388683964460899460e+02 -4.257793041553148417e-01 4.318215864608879184e-01 2.047559657803494791e-04 1.075507573314199590e+02 6.543971599101537640e-02
8.512557782267345108e-02 7.515568088500741706e-02 3.014803110403326101e-10 3.324574223031175757e-10 3.711477320935300668e+02 -4.191595991554994960e-01 5.100231279094787906e-01 2.056833032542320988e-04 1.496722589649993722e+02 6.616001488252418183e-02
8.234159628688630939e-02 9.149396093519390760e-02 2.759123343678936409e-10 4.330688447925934658e-10 3.835024177463283195e+02 -4.248732134127589655e-01 5.999999999999999778e-01 2.150684516336453123e-04 1.091843382043563651e+02 7.423516106550440141e-03
7.780969845962169840e-02 8.729349462964078321e-02 3.492926294125756937e-10 4.778123091208634281e-10 3.226204784994753254e+02 -4.303533191279666492e-01 5.999999999999999778e-01 2.159703258226031175e-04 8.749573134485538617e+01 0.000000000000000000e+00
8.387002217033440177e-02 7.771525650867525115e-02 3.206484106854716737e-10 3.999217856736857631e-10 3.792024905247157562e+02 -4.251679124470391091e-01 5.388114258422000979e-01 2.048882590685859408e-04 2.109397003662830912e+02 1.011086909577912363e-01
7.925501253160822934e-02 9.553504625719898280e-02 3.325391022435832690e-10 3.333447164247708068e-10 3.404003203232973647e+02 -4.256054470327222949e-01 5.999999999999999778e-01 2.210783900547731078e-04 1.167959824471200960e+02 0.000000000000000000e+00
8.743460204026885785e-02 8.092147431098375976e-02 3.153848654296468235e-10 3.669583824312093067e-10 4.031245159724633709e+02 -4.298614331570091984e-01 5.284933527718501667e-01 2.098148880693115911e-04 2.460929842306508704e+02 6.414854299365221890e-02
1.003926410762702309e-01 7.685467201957703332e-02 3.141145878443366033e-10 3.970388344159783690e-10 4.034329418140028451e+02 -4.322660110384763943e-01 5.702360285156925501e-01 2.065225113615633626e-04 1.792895899280599394e+02 1.976026661819161798e-02
8.018741929749914621e-02 7.908477014562742546e-02 2.912216133458256777e-10 3.917361001890094065e-10 3.897854706469747725e+02 -4.250520502196611927e-01 5.453816328296287042e-01 2.039643621879351346e-04 2.678024329457041404e+02 3.390440054346804954e-02
1.031494751714433222e-01 7.104367509951074744e-02 3.170810392900972984e-10 3.250836974897452954e-10 3.996920654661344656e+02 -4.224647358865304403e-01 5.999999999999999778e-01 2.039369945189673894e-04 1.384904806029776125e+02 6.589937077956271871e-02
8.540763065436988988e-02 7.364633147868615559e-02 3.273917535299406689e-10 4.308613756538586391e-10 3.811553100927223454e+02 -4.289912816868976519e-01 5.087085950713821081e-01 2.057133797750557234e-04 2.795595405282534216e+02 5.305700007871726707e-03
9.942301163530735397e-02 6.797095526080920713e-02 3.239123906529381371e-10 5.198863804144008964e-10 3.721025559874652799e+02 -4.296771330102323594e-01 5.225533159415703954e-01 2.046658523869296820e-04 1.508468992651873464e+02 5.233702326238461738e-02
9.524972676777597458e-02 7.017108546794864621e-02 3.084586942736215975e-10 3.747853980282615547e-10 3.930961854671731999e+02 -4.385718773839356044e-01 5.999999999999999778e-01 2.029715084810047572e-04 2.758654828071046836e+02 6.001147420842738167e-02
9.374744961317860170e-02 8.110508183381619218e-02 3.463070027716738261e-10 4.386741133429071914e-10 4.170481947410716543e+02 -4.210237145205152354e-01 5.999999999999999778e-01 2.020589117099326427e-04 3.124334381463509089e+02 1.041697379771596849e-01
1.097650997081135033e-01 6.904222370832611977e-02 2.916427993908346265e-10 4.334204892595141190e-10 3.985293863901891314e+02 -4.297982024648382415e-01 4.000000000000000222e-01 2.066227537038636179e-04 1.102387690112823009e+02 7.124313829545331211e-02
9.108170402902192320e-02 7.058520106835391994e-02 2.160917216178819765e-10 3.785058144282925052e-10 4.050008441707820452e+02 -4.393260166566618219e-01 4.927562059218532631e-01 2.116932394818658099e-04 1.420618195448456333e+02 6.613019089634461500e-02
1.065400016711184061e-01 9.265961089070248735e-02 2.788160267058597316e-10 4.795520809279441614e-10 3.950370135936644260e+02 -4.288440105058908269e-01 5.999999999999999778e-01 2.071767977480477114e-04 1.186368566944945826e+02 6.028649583620027119e-02
8.148130972319349297e-02 1.199999999999999956e-01 3.480859115748051791e-10 5.005700950990432653e-10 3.716162744529560200e+02 -4.367202226159847545e-01 5.999999999999999778e-01 2.049473581612248007e-04 1.018646943693337192e+02 5.620041186119398291e-02
7.913294685375393822e-02 8.956082576392411509e-02 3.500783452826842848e-10 3.211937108205387535e-10 3.797153688435075765e+02 -4.239132282111575112e-01 5.731396627112704811e-01 2.157473758364702554e-04 1.650713548617989090e+02 3.842723082084002761e-02
8.327986970025030855e-02 1.199999999999999956e-01 2.596641403367170486e-10 5.475584704019691710e-10 4.012673345078065950e+02 -4.171348766370424066e-01 4.077635990592780590e-01 2.057608757795524297e-04 4.727209201502972178e+02 7.080795289184668717e-02
9.215677421125474666e-02 6.673395555568388537e-02 3.141413040824906805e-10 3.934656512681914865e-10 3.220751137026476272e+02 -4.273862530948145944e-01 4.000000000000000222e-01 2.129776314869693957e-04 1.035625669882393538e+02 7.355196529999907806e-02
9.060896580837830838e-02 6.666574845853147357e-02 3.530043571548129235e-10 4.476515093100517587e-10 3.516379028308076045e+02 -4.240081936589984446e-01 4.000000000000000222e-01 2.167638332443709061e-04 1.219189943089246952e+02 7.052114533753353620e-02
9.160270314249384371e-02 7.425582866713945074e-02 3.136203084426835363e-10 3.963407138975209914e-10 3.892938870444766621e+02 -4.171126427256670599e-01 4.000000000000000222e-01 2.076155257475400639e-04 1.269022276184995945e+02 7.976395947083415872e-02
